NOMBRE DEL PRODUCTO,SKU,CODIGO INTERNO,PRECIO,COSTO
"PAPEL KRAFT MONOLUCIDO 49GR 70X100","54323","54323",0.17,0.17
"BOLIG FAB 031 P/F TRI/HEX AZUL","15723001","15723001",0.4,0.4
"BOLIG FAB 031 P/F TRI/HEX NEGRO","15723002","15723002",0.4,0.4
"BOLIG FAB 031 P/F TRI/HEX ROJO","15723003","15723003",0.4,0.4
"TRANSPORTADOR 180 X 9 CM ARTESCO","291","291",0.54,0.54
"CORRECTOR OVE MINI 4ML T/LAPIC COLOR","9769","9769",0.7,0.7
"PLUMON OVE 47 JUMBO AZUL","33336001","33336001",0.85,0.85
"PLUMON OVE 47 JUMBO ROJO","33336003","33336003",0.85,0.85
"PLUMON OVE 47 JUMBO VERDE","33336004","33336004",0.85,0.85
"CHINCHES DORADO (CAX100) OVE","18104","18104",0.9,0.9
"PALITO D CHUP NATURAL BLSX80","719","719",0.93,0.93
"PLUMON OVE 23 AZUL","33340001","33340001",0.98,0.98
"PLUMON OVE 23 NEGRO","33340002","33340002",0.98,0.98
"PLUMON OVE 23 ROJO","33340003","33340003",0.98,0.98
"CORRECTOR ARTESCO T/LAPIC P MET","1425","1425",1.06,1.06
"PLUMON OVE PERM DUO AZUL","16497001","16497001",1.07,1.07
"PLUMON OVE PERM DUO NEGRO","16497002","16497002",1.07,1.07
"PLUMON OVE PERM DUO ROJO","16497003","16497003",1.07,1.07
"CHINCHES SURTIDOS (CAX50) OVE","18107","18107",1.08,1.08
"PLUMON OVE RESALT AMARILLO","15527","15527",1.08,1.08
"PLUMON OVE RESALT NARANJA","42590","42590",1.08,1.08
"PLUMON OVE RESALT VERDE","42589","42589",1.08,1.08
"CORRECTOR FAB T/LAPIC P MET","1104","1104",1.13,1.13
"PLUMON ARTESCO 123 AZUL","16402001","16402001",1.23,1.23
"PLUMON ARTESCO 123 NEGRO","16402002","16402002",1.23,1.23
"PLUMON ARTESCO 123 ROJO","16402003","16402003",1.23,1.23
"PLUMON ARTESCO 123 VERDE","16402004","16402004",1.23,1.23
"PALITO D CHUP COLOR PQTX50 SINO-CTS DRAG","12415","12415",1.31,1.31
"COLA X 2 ONZ(57GR) ARTESCO C/APLIC","2035","2035",1.47,1.47
"COLA X 110 GR FAB PEGABIEN","63880","63880",1.49,1.49
"PEGAMENTO BARRA X 21GR ARTESCO","2173","2173",1.5,1.5
"PEGAMENTO BARRA X 21GR FABER FIX","63146","63146",1.55,1.55
"COLA X 225 GR FAB PEGABIEN C/APLIC","50503","50503",1.61,1.61
"COMPAS ESCOL LAYCONSA PLASTICO C/LAPIZ","5501","5501",1.69,1.69
"PALITO D CHUP GRUESO NATURAL PQTX80","2050","2050",2.03,2.03
"SILICONA LIQUIDA 100ML ARTESCO","2856","2856",2.16,2.16
"COLA X 8.8 ONZ(250GR) ARTESCO C/APLIC","28823","28823",2.42,2.42
"GRAPAS 26/6 X 5000 ARTESCO","1220","1220",2.42,2.42
"PEGAMENTO BARRA X 40GR ARTESCO","3335","3335",2.51,2.51
"PEGAMENTO BARRA X 40GR FABER FIX NUEVO","55463","55463",2.59,2.59
"BLOCK DIB ANILL 16H 140G OVE 24X31.5CM","46460","46460",3,3
"PLASTILINA X 12 JUMBO ARTESCO","1925","1925",3.01,3.01
"MICROPOR A4 ESCARCH SURT PQTX10","71981014","71981014",3.4,3.4
"LAPIZ 2B C/B CAX12 ARTESCO","17482","17482",3.61,3.61
"BLOCK DIB ANILL 20H DIS JUSTUS","49851","49851",3.77,3.77
"LAPIZ TECN 2B S/B CAX12 FAB","34384","34384",3.97,3.97
"TAJAD PLAST SIMP OVE (CAX24)","32603","32603",4,4
"PLUMON FAB 45 X 12 EST CARTON","43390","43390",4.12,4.12
"SET ALFILERES EN DISCO (PQTX12)","30002","30002",4.7,4.7
"COLOR X 12L FAB 0408020012","360","360",4.74,4.74
"PERFOR OVE 11H ESCOLAR","46241","46241",4.9,4.9
"COLOR X 12L TRIANG ARTESCO","1922","1922",5.15,5.15
"PLUMON OVE 47 JUMBO X 6","37260","37260",5.3,5.3
"PERFOR ARTESCO 11H ESCOLAR M-01 NEGRO","28700002","28700002",5.31,5.31
"SILICONA EN BARRA DELGADA PQTX12 OVE","1712","1712",5.9,5.9
"PLUMON ARTESCO FINE LINER TRIANG X 12","29888","29888",6.93,6.93
"PLUMON FAB COLORFEST X 12","78237","78237",7.88,7.88
"PERFOR ARTESCO 25H OFICI M-73 AZUL","28547001","28547001",8.1,8.1
"PLUMON FAB 45 X 12 EST RIGIDO","20866","20866",8.19,8.19
"PLUMON FAB 45 X 12 + 4 NEON + 2 PASTEL","39916","39916",8.25,8.25
"PLUMON OVE E47 X12","87518","87518",8.3,8.3
"PLUMON ARTESCO RESALT METALICO X4","55953","55953",9.21,9.21
"PAPEL FOTOC CHAMEX 75GR A-4 PQTX500","199","199",10.2,10.2
"SILICONA BARRA GRSA OVE 800GR (29 APRX)","10525","10525",13.9,13.9
"TAJAD PLAST DEP SIM FUNKY+ BOR VINIFAN/CA","89290","89290",18,18
"TAJAD PLAST DEP DOB NEON VINIFAN (CAX12)","25312","25312",18.43,18.43
"TAJAD METAL DEP DOB PASTEL ARTESCO CAX12","41862","41862",38.46,38.46
